timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:53:23.0,100.00 %,389.63 W,13.10 %,31.12 W,NVIDIA RTX A6000,1,34.16 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:23.0,100.00 %,389.63 W,13.10 %,31.12 W,NVIDIA RTX A6000,2,9.11 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:23.0,100.00 %,389.63 W,13.10 %,31.12 W,NVIDIA RTX A6000,3,8.87 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:28.0,100.00 %,445.12 W,13.10 %,31.85 W,NVIDIA RTX A6000,0,54.58 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:28.0,100.00 %,445.12 W,13.10 %,31.85 W,NVIDIA RTX A6000,1,34.06 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:28.0,100.00 %,445.12 W,13.10 %,31.85 W,NVIDIA RTX A6000,2,9.89 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:28.0,100.00 %,445.12 W,13.10 %,31.85 W,NVIDIA RTX A6000,3,9.15 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:33.0,100.00 %,583.68 W,13.10 %,41.39 W,NVIDIA RTX A6000,0,54.81 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:33.0,100.00 %,583.68 W,13.10 %,41.39 W,NVIDIA RTX A6000,1,33.93 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:33.0,100.00 %,583.68 W,13.10 %,41.39 W,NVIDIA RTX A6000,2,8.39 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
